pop.,store,season,GRP,weighted,delivery,daily,cost,Active
592069,0,1.05,332.4,68,71,2.2666666667,190,55
311635,0,1.05,180,12,13,0.4,150,52
348256,0,1.05,232.6,56,59,1.8666666667,130,52
1021244,0,1.05,279,84,88,2.8,140,52
170621,0,1.05,235.7,6,6,0.2,140,52
314436,0,1.05,279,18,19,0.6,140,52
301642,0,1.05,325.8,63,66,2.1,130,46
80013,0,1.05,403.4,6,6,0.2,140,46
56928,0,1.05,184,15,16,0.5,150,55
70133,0,1.05,376.7,1,1,0.0333333333,130,52
409277,0,1.05,145.2,60,63,2,250,52
628116,0,1.05,291.3,78,82,2.6,140,51
248688,0,1.05,209.5,19,20,0.6333333333,140,51
587225,0,1.05,375.5,90,94,3,190,55
431491,0,1.05,317,32,34,1.0666666667,140,46
325185,0,1.05,322.5,93,98,3.1,250,52
532884,0,1.05,273.8,107,112,3.5666666667,150,55
473668,0,1.05,191.4,23,24,0.7666666667,140,52
80584,0,1.05,376.7,6,6,0.2,130,52
263906,0,1.05,410.2,33,35,1.1,350,55
268617,0,1.05,223.2,49,51,1.6333333333,130,52
973891,0,1.05,498.4,85,89,2.8333333333,150,55
333640,0,1.05,193.4,38,40,1.2666666667,150,50
414595,0,1.05,266,66,69,2.2,150,52
109906,0,1.05,149.3,5,5,0.1666666667,150,55
508124,0,1.05,341.5,73,77,2.4333333333,130,52
408401,0,1.05,284.2,23,24,0.7666666667,150,50
577990,0,1.05,180.8,27,28,0.9,150,52
307664,0,1.05,416.7,229,240,7.6333333333,140,46
513242,0,1.05,434.5,29,30,0.9666666667,140,51
240095,0,1.05,137.4,17,18,0.5666666667,150,52
159695,0,1.05,332.4,12,13,0.4,190,55
61746,0,1.05,690.6,12,13,0.4,380,55
251860,0,1.05,1761.2,30,31,1,150,50
361883,0,1.05,384.2,21,22,0.7,150,50
547885,0,1.05,273.8,63,66,2.1,150,55
241788,0,1.05,330.1,30,32,1,250,52
104144,0,1.05,2985.3,33,35,1.1,150,50
99762,0,1.05,,2,,0.0666666667,230,50
110572,0,1.05,2985.3,21,22,0.7,150,50
317854,0,1.05,234.2,41,43,1.3666666667,130,52
546987,0,1.05,364.8,60,63,2,250,51
239752,0,1.05,364.8,13,14,0.4333333333,140,51
517137,0,1.05,219.2,86,90,2.8666666667,140,51
991530,0,1.05,367.1,123,129,4.1,250,51
263540,0,1.05,293.1,94,99,3.1333333333,140,46
179526,0,1.05,456.5,84,88,2.8,380,55
203281,0,1.05,185.5,65,68,2.1666666667,250,46
142397,0,1.05,193.5,43,45,1.4333333333,140,52
147008,0,1.05,187.6,11,12,0.3666666667,150,55
200771,0,1.05,305.2,3,3,0.1,130,52
525062,0,1.05,261.2,87,91,2.9,130,52
297425,0,1.05,210.9,39,41,1.3,140,52
837831,0,1.05,225.4,106,111,3.5333333333,140,51
342451,0,1.05,,130,,4.3333333333,140,52
192265,0,1.05,311.5,66,69,2.2,140,46
108466,0,1.05,399.2,2,2,0.0666666667,150,55
126496,0,1.05,376.7,19,20,0.6333333333,130,52
343644,0,1.05,,160,,5.3333333333,140,52
343285,0,1.05,330.1,50,53,1.6666666667,140,52
398266,0,1.05,193.5,61,64,2.0333333333,140,52
221163,0,1.05,400.6,14,15,0.4666666667,130,52
273432,0,1.05,306.8,14,15,0.4666666667,140,55
306703,0,1.05,1761.2,55,58,1.8333333333,150,50
235006,0,1.05,553.8,43,45,1.4333333333,140,46
280457,0,1.05,258.8,57,60,1.9,130,52
403726,0,1.05,232.8,85,89,2.8333333333,130,52
719514,0,1.05,358.6,42,44,1.4,250,51
522940,0,1.05,399.2,105,110,3.5,350,55
581758,0,1.05,522,121,127,4.0333333333,350,50
404357,0,1.05,189.3,26,27,0.8666666667,150,55
157946,0,1.05,332.4,16,17,0.5333333333,190,55
99642,0,1.05,553.8,33,35,1.1,140,46
577668,0,1.05,410.2,124,130,4.1333333333,350,55
79410,0,1.05,1761.2,50,52,1.6666666667,150,50
453645,0,1.05,189.7,30,32,1,250,51
1130273,0,1.05,284.2,117,123,3.9,250,50
312311,0,1.05,325.8,38,40,1.2666666667,130,46
323964,0,1.05,209,54,57,1.8,190,55
240152,0,1.05,235.7,6,6,0.2,140,52
103728,0,1.05,163.7,4,4,0.1333333333,140,52
181727,0,1.05,1620.3,63,66,2.1,380,55
269486,0,1.05,690.6,55,58,1.8333333333,380,55
165183,0,1.27,299.9,35,44,1.1290322581,150,55
348716,0,1.27,311.5,145,184,4.6774193548,140,46
